Var1,gfp_mean,gfp_std,Var4,rfp_mean,rfp_std
469.95,529.352796768554,113.438884574377,469.95,332.380503632329,37.1538187477146
474.95,512.757951547393,104.430150758737,474.933333333333,401.389348311048,46.7215164816743
479.933333333333,490.264540001881,98.8161053282692,479.933333333333,438.844998092483,51.8704786724016
484.95,468.21255662356,89.2051784442756,484.933333333333,545.284907544161,65.3572251090623
489.95,450.692476565004,83.2555975798054,489.933333333333,639.535347279405,79.9708047103883
495.083333333333,426.291855919265,78.8020684050684,495.066666666667,700.686588837714,95.2096679368494
499.95,395.671105750637,71.2398107795845,499.933333333333,792.833246492892,118.83045960778
504.95,378.739394414798,66.7184925075768,504.933333333333,863.980427098445,137.562804583625
509.933333333333,357.414964712726,60.66525733526,509.933333333333,918.846437275958,153.673569128679
515.016666666667,329.537800088798,53.8303533989139,515,1046.11876245485,197.810999381848
519.95,311.125537641762,50.518500132872,519.933333333333,1118.60686141701,229.961256700735
524.933333333333,286.772442189993,46.9727129536475,524.933333333333,1165.24280497031,252.067961970597
529.95,261.951279140318,41.8315604626489,529.933333333333,1317.11990841146,308.405491856778
534.95,251.876800301673,40.1308437811631,534.95,1418.47167560735,349.443162816318
539.95,235.400631399814,36.906579170951,539.933333333333,1498.54337377126,387.519626750846
544.983333333333,227.235262806814,36.023944020509,544.983333333333,1661.94213767771,455.730209179161
549.95,213.336792893054,33.8923952996975,549.933333333333,1769.54602354925,527.230719869797
554.933333333333,197.899594910588,32.8841253572391,554.933333333333,1843.74321771584,593.697235841027
559.933333333333,189.539324838444,33.0157573381995,559.933333333333,2000.50712215473,668.291732342001
564.933333333333,176.298272539667,32.272169486419,564.933333333333,2081.8048564507,741.968280735816
569.95,164.346266490282,31.2609884969616,569.933333333333,2144.44205030781,815.779370274499
574.933333333333,159.6055992813,31.6616614629372,574.933333333333,2230.05826232303,891.64728929856
579.95,148.856492505071,30.8875968512132,579.933333333333,2306.32830496346,966.896610729875
584.95,146.580077050525,31.3790002451775,584.933333333333,2367.28450227196,1038.10717701732
